# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Copland, Patrick, ca. 1570-ca. 1655	Anglican	Puritan	m
Brinkelow, Henry, d. 1546	Anglican	Puritan	m	Lay satirist of the Edwardian church
Freake, William	Anglican	Puritan	l
Duke, Francis	Anglican	Puritan	l
Peck, Francis, d. 1651	Anglican	Puritan	l
Eachard, John, 17th cent	Anglican	Puritan	l
Howet, Enoch	Anglican	Puritan	l
Powell, Walter, b. 1590 or 91	Anglican	Puritan	l
Hussey, William, minister of Chiselhurst	Anglican	Puritan	l
Smyth, Zeph. (Zephaniah), fl. 1646-1648	Anglican	Puritan	l
Townsend, Sampson	Anglican	Puritan	l
Moore, Samuel, b. 1617	Anglican	Puritan	l
Holland, Hezekiah, fl. 1638-1661	Anglican	Puritan	l
Boun, Abraham	Anglican	Puritan	l
Parker, William, fl. 1651-1658	Anglican	Puritan	l
Austen, Ralph, d. 1676	Anglican	Puritan	l	Lay
Willington, George	Anglican	Puritan	l
Strong, James, 1618 or 19-1694	Anglican	Puritan	l
West, Robert, b. ca. 1613	Anglican	Puritan	l
Jones, Andrew, M.A.	Anglican	Puritan	l
Hough, Roger	Anglican	Puritan	l
Pack, Samuel	Anglican	Puritan	l
Pits, John	Anglican	Puritan	l
Udal, Thomas	Anglican	Puritan	l
Corbet, Jeffrey	Anglican	Puritan	l	Lay
Nicolls, Philip	Anglican	Puritan	l

# ── Presbyterian ──────────────────────────────────────────────────
Ford, Thomas, 1598-1674	Presbyterian	Puritan	h
Bowles, Edward, 1613-1662	Presbyterian	Puritan	h
Gee, Edward, 1613-1660	Presbyterian	Puritan	h
Whitlock, John, 1625-1709	Presbyterian	Puritan	h
Mayo, Richard, 1631?-1695	Presbyterian	Puritan	h
Janeway, James, 1636?-1674	Presbyterian	Puritan	h
Corbet, John, 1620-1680	Presbyterian	Puritan	h
Sylvester, Matthew, 1636 or 7-1708	Presbyterian	Puritan	h	Baxter's editor
Hill, Joseph, 1625-1707	Presbyterian	Puritan	h
Pendlebury, Henry, 1626-1695	Presbyterian	Puritan	h
Rogers, Timothy, 1658-1728	Presbyterian	Puritan	h
Boyse, J. (Joseph), 1660-1728	Presbyterian	Puritan	h	Dublin
Calamy, Edmund, 1671-1732	Presbyterian	Puritan	h	The historian of the ejection; grandson of the Westminster divine
Fleming, Robert, 1630-1694	Presbyterian	Puritan	h	Church of Scotland
Williamson, David, d. 1706	Presbyterian	Puritan	h	Church of Scotland
Wilson, Thomas, 1601-1653	Presbyterian	Puritan	m
Paget, Thomas, d. 1660	Presbyterian	Puritan	m
Wilkinson, Henry, 1610-1675	Presbyterian	Puritan	m	Not the man of 1616-1690
Woodcock, Francis, 1614?-1651	Presbyterian	Puritan	m
Hickes, Gaspar, 1605-1677	Presbyterian	Puritan	m	Westminster divine
Ram, Robert, d. 1657	Presbyterian	Puritan	m
Goode, William, b. 1599 or 1600	Presbyterian	Puritan	m	Westminster divine
Hudson, Samuel, 17th cent	Presbyterian	Puritan	m
Wells, John, 1623-1676	Presbyterian	Puritan	m
R. D. (Roger Drake), 1608-1669	Presbyterian	Puritan	m
Woodbridge, Benjamin, 1622-1684	Presbyterian	Puritan	m
Chambers, Humphrey, 1598 or 9-1662	Presbyterian	Puritan	m	Westminster divine
Walker, Clement, 1595-1651	Presbyterian	Puritan	m	Lay; MP
Sydenham, Cuthbert, 1622-1654	Presbyterian	Puritan	m
Farmer, Ralph	Presbyterian	Puritan	m	Of Bristol; wrote against the Quakers
Froysell, Thomas, d. ca. 1672	Presbyterian	Puritan	m
Norman, John, 1622-1669	Presbyterian	Puritan	m
Danson, Thomas, d. 1694	Presbyterian	Puritan	m
Hurst, Henry, 1629-1690	Presbyterian	Puritan	m
Lamb, Philip, d. 1689	Presbyterian	Puritan	m
Rolle, Samuel, fl. 1657-1678	Presbyterian	Puritan	m
Truman, Joseph, 1631-1671	Presbyterian	Puritan	m
Barret, John, 1631-1713	Presbyterian	Puritan	m
Troughton, John, 1637?-1681	Presbyterian	Puritan	m
Stephens, Nathaniel, 1606?-1678	Presbyterian	Puritan	m
Ranew, Nathanael, 1602?-1678	Presbyterian	Puritan	m
Batt, Timothy, 1613-1692	Presbyterian	Puritan	l
Bridges, Walter	Presbyterian	Puritan	l
Masterson, Geo. (George)	Presbyterian	Puritan	l
Baxter, Benjamin, Preacher of the Gospel	Presbyterian	Puritan	l
Stoddon, Samuel	Presbyterian	Puritan	l
Dunton, John, 1627 or 8-1676	Presbyterian	Puritan	l
Harrison, Michael, Minister at Potters-Pury	Presbyterian	Puritan	l
Brown, David, fl. 1650-1652	Presbyterian	Puritan	l
Row, James, 17th cent	Presbyterian	Puritan	l	Church of Scotland

# ── Congregational and Independent ────────────────────────────────
Parker, Thomas, 1595-1677	Congregational	Puritan	h	New England
Allin, John, 1596-1671	Congregational	Puritan	h	New England
Fitch, James, 1622-1702	Congregational	Puritan	h	New England
Oakes, Urian, 1631-1681	Congregational	Puritan	h	President of Harvard
Torrey, Samuel, 1632-1707	Congregational	Puritan	h	New England
Mather, Increase, 1639-1723	Congregational	Puritan	h	New England
Morton, Charles, 1627-1698	Congregational	Puritan	h	New England
Sewall, Samuel, 1652-1730	Congregational	Puritan	h	New England; lay judge
Feake, Christopher, fl. 1645-1660	Congregational	Puritan	h	Fifth Monarchist
Rowe, John, 1626-1677	Congregational	Puritan	h
Carter, William, 1605-1658	Congregational	Puritan	m
Du Moulin, Lewis, 1606-1680	Congregational	Puritan	m	Son of the Huguenot; an Independent, unlike his brother Peter
Cary, Mary	Congregational	Puritan	m	Fifth Monarchist
Armitage, Timothy, d. 1655	Congregational	Puritan	m
Ford, Stephen, d. 1694	Congregational	Puritan	m
J. F. (James Forbs), 1629?-1712	Congregational	Puritan	m
Spencer, John, 1601-1671	Congregational	Puritan	l	Not the Dean of Ely
Batchiler, John, ca. 1615-1674	Congregational	Puritan	l
Robotham, John, fl. 1654	Congregational	Puritan	l
Higgenson, Thomas	Congregational	Puritan	l
Whiting, Nathaneel, 1617?-1682	Congregational	Puritan	l

# ── Baptist ───────────────────────────────────────────────────────
Kiffin, William, 1616-1701	Baptist	Puritan	h	Particular Baptist
Blackwood, Christopher	Baptist	Puritan	h
Griffith, John, 1622?-1700	Baptist	Puritan	h	General Baptist
Danvers, Henry, d. 1687	Baptist	Puritan	h
De Laune, Thomas, d. 1685	Baptist	Puritan	h	Died in Newgate
Collins, Hercules, d. 1702	Baptist	Puritan	h	Particular Baptist
Lawrence, Henry, 1600-1664	Baptist	Puritan	m	Lay; president of Cromwell's council
Killcop, Thomas	Baptist	Puritan	m
Loveday, Samuel, 1619-1677	Baptist	Puritan	m	General Baptist
Spittlehouse, John	Baptist	Puritan	m	Fifth Monarchist
Haggar, Henry	Baptist	Puritan	m
Hammon, George	Baptist	Puritan	m	General Baptist

# ── Quaker ────────────────────────────────────────────────────────
Ellwood, Thomas, 1639-1713	Quaker		h	Milton's reader
Gibson, William, 1629-1684	Quaker		h
Rudyard, Thomas, d. 1692	Quaker		h
Shewen, William, 1631?-1695	Quaker		h
Rogers, William, d. ca. 1709	Quaker		h	The Wilkinson-Story separation
Tomlinson, William	Quaker		m

# ── Socinian ──────────────────────────────────────────────────────
Crell, Johann, 1590-1633	Socinian		h	Racovian

# ── The continent ─────────────────────────────────────────────────
Dailé, Jean, 1594-1670	Continental Reformed		h	Huguenot, at Charenton
Jurieu, Pierre, 1637-1713	Continental Reformed		h	Huguenot, in exile at Rotterdam
Allix, Pierre, 1641-1717	Continental Reformed		h	Huguenot; took English orders after the Revocation
Marcourt, Antoine de, d. ca. 1560	Continental Reformed		h	The Placards of 1534
Lambert, Franz, 1486-1530	Continental Reformed		m	Lambert of Avignon; the Homberg synod
Osiander, Andreas, 1498-1552	Lutheran		h
Hegendorph, Christoph, 1500-1540	Lutheran		h
Gnaphaeus, Gulielmus, 1493-1568	Lutheran		m
Hart, Henry, fl. 1549	Anabaptist		m	Kentish freewiller

# ── Rome ──────────────────────────────────────────────────────────
Fisher, John, 1569-1641	Roman Catholic		h	The Jesuit John Percy; not the martyred bishop
Harris, Paul, 1573-1635?	Roman Catholic		h	Secular priest in Dublin
Mumford, J. (James), 1606-1666	Roman Catholic		h	Jesuit
Cressy, Serenus, 1605-1674	Roman Catholic		h	Benedictine; converted from the Church of England
Senault, Jean-François, 1601-1672	Roman Catholic		h	Oratorian
Walsh, Peter, 1618?-1688	Roman Catholic		h	Franciscan
E. W. (Edward Worsley), 1605-1676	Roman Catholic		h	Jesuit
Godden, Thomas, 1624-1688	Roman Catholic		h
Warner, John, 1628-1692	Roman Catholic		h	Jesuit
Corker, James Maurus, 1636-1715	Roman Catholic		h	Benedictine
Darrell, William, 1651-1721	Roman Catholic		h	Jesuit
John XXI, Pope, d. 1277	Roman Catholic		h
Denis, the Carthusian, 1402-1471	Roman Catholic		h
Hilton, Walter, d. 1396	Roman Catholic		h
Raymond, of Capua, 1330-1399	Roman Catholic		h	Catherine of Siena's confessor
Colet, John, 1467?-1519	Roman Catholic		h	Dean of St Paul's before the breach
William, of Ockham, ca. 1285-ca. 1349	Roman Catholic		h
Savonarola, Girolamo, 1452-1498	Roman Catholic		h
Peryn, William	Roman Catholic		h	Dominican
Harpsfield, John, 1516-1578	Roman Catholic		h
Chaucer, Geoffrey, d. 1400	Roman Catholic		m	Lay
Gower, John, 1325?-1408	Roman Catholic		m	Lay
Caxton, William, ca. 1422-1491	Roman Catholic		m	Lay printer
Froissart, Jean, 1338?-1410?	Roman Catholic		m
Parker, Henry, d. 1470	Roman Catholic		m
Chertsey, Andrew	Roman Catholic		m
Ryckes, John	Roman Catholic		m
Lefèvre d'Étaples	Roman Catholic		m
Boece, Hector, 1465?-1536	Roman Catholic		m
Clerk, John, d. 1552	Roman Catholic		m

# ── Party without a body ──────────────────────────────────────────
Skippon, Philip, d. 1660		Puritan	l	Lay; Major-General
Walwyn, William, 1600-1681		Puritan	l	Leveller
Sikes, George		Puritan	l	Wrote the life of Sir Henry Vane
Tutchin, John, 1661?-1707		Puritan	l	Lay; Whig pamphleteer
Eleanor, Lady, d. 1652		Puritan	l	Lady Eleanor Davies, prophetess
Tichborne, Robert, Sir, d. 1682		Puritan	l	Lay; regicide

# ══ Seventh pass ══════════════════════════════════════════════════
# The Elizabethan and Jacobean tail: parish clergy, lay writers, the
# recusant presses abroad, and the continental Reformed in English.

# ── Rome ──────────────────────────────────────────────────────────
Standish, John, 1507?-1570	Roman Catholic		h
Bonner, Edmund, 1500?-1569	Roman Catholic		h	Bishop of London under Mary
Feckenham, John de, 1518?-1585	Roman Catholic		h	Last Abbot of Westminster
Watson, Thomas, 1513-1584	Roman Catholic		h	Bishop of Lincoln under Mary; not the Presbyterian
Dorman, Thomas, d. 1577?	Roman Catholic		h
Hozjusz, Stanisław, 1504-1579	Roman Catholic		h	Cardinal
Stapleton, Thomas, 1535-1598	Roman Catholic		h	Douai and Louvain
Rainolds, William, 1544?-1594	Roman Catholic		h	Brother of the Puritan John Rainolds
Estella, Diego de, 1524-1578	Roman Catholic		h	Franciscan
Loarte, Gaspar de, 1498-1578	Roman Catholic		h	Jesuit
Pinelli, Luca, 1542-1607	Roman Catholic		h	Jesuit
Buckland, Ralph, 1564-1611	Roman Catholic		h
Woodward, Philip, ca. 1557-1610	Roman Catholic		h
Androzzi, Fulvio, 1523-1575	Roman Catholic		h	Jesuit
Colleton, John, 1548-1635	Roman Catholic		h	Archpriest
Fitzherbert, Thomas, 1552-1640	Roman Catholic		h	Jesuit
Coffin, Edward, 1571-1626	Roman Catholic		h	Jesuit
Richeome, Lovis, 1544-1625	Roman Catholic		h	Jesuit
Falconer, John, 1577-1656	Roman Catholic		h	Jesuit
Hoskins, Anthony, 1568-1615	Roman Catholic		h	Jesuit
John, of Avila, Saint, 1499?-1569	Roman Catholic		h
Lechmere, Edmund, d. 1640?	Roman Catholic		h
Juan de Santa María, fray, d. 1622	Roman Catholic		h	Franciscan
Camus, Jean-Pierre, 1584-1652	Roman Catholic		h	Bishop of Belley
Caussin, Nicolas, 1583-1651	Roman Catholic		h	Jesuit
Fonseca, Cristóbal de, 1550?-1621	Roman Catholic		h	Augustinian
Scupoli, Lorenzo, 1530-1610	Roman Catholic		h	Theatine
Almond, Oliver	Roman Catholic		h
Wadsworth, James, 1572?-1623	Roman Catholic		h	Converted
Matthew, Toby, Sir, 1577-1655	Roman Catholic		h	Converted; son of the Archbishop of York
Wilson, John, ca. 1575-ca. 1645?	Roman Catholic		h	The English Martyrologe
Anghiera, Pietro Martire d', 1457-1526	Roman Catholic		h
Charron, Pierre, 1541-1603	Roman Catholic		h
Robert, Gruffydd, 1522-ca. 1610	Roman Catholic		h	Welsh exile at Milan
Adrichem, Christiaan van, 1533-1585	Roman Catholic		h
Parsons, Robert, 1546-1610. Christian directory	Roman Catholic		h	Jesuit
Cancellar, James	Roman Catholic		m	Marian
Evans, Lewis, fl. 1574	Roman Catholic		m	Crossed twice
Constable, Henry, 1562-1613	Roman Catholic		m	Converted
Flecknoe, Richard, d. 1678?	Roman Catholic		m
Paradin, Claude, 16th cent	Roman Catholic		m
Machiavelli, Niccolò, 1469-1527	Roman Catholic		m	Lay
Bruni, Leonardo, 1369-1444	Roman Catholic		m	Lay
Petrarca, Francesco, 1304-1374	Roman Catholic		m
Guicciardini, Francesco, 1483-1540	Roman Catholic		m	Lay
Pasquier, Etienne, 1529-1615	Roman Catholic		m	Lay
Matthieu, Pierre, 1563-1621	Roman Catholic		m	Lay
António, Prior of Crato, 1531-1595	Roman Catholic		m	Lay
Aelfric, Abbot of Eynsham	Roman Catholic		m	Pre-Conquest English church

# ── The continent ─────────────────────────────────────────────────
Teellinck, Willem, 1579-1629	Continental Reformed		h	The Dutch Further Reformation
Polyander à Kerckhoven, Johannes, 1568-1646	Continental Reformed		h	Leiden; Synopsis Purioris Theologiae
Polanus von Polansdorf, Amandus, 1561-1610	Continental Reformed		h	Basel
Taffin, Jean, 1529-1602	Continental Reformed		h
Chassanion, Jean de, 1531-1598	Continental Reformed		h	Huguenot
La Place, Pierre de, 1520-1572	Continental Reformed		h	Killed in the St Bartholomew's Day massacre
Estienne, Henri, 1531-1598	Continental Reformed		h	Huguenot printer
Gentillet, Innocent, ca. 1535-ca. 1595	Continental Reformed		h	Huguenot
Valera, Cipriano de, 1532?-1625	Continental Reformed		h	Spanish exile; the Reina-Valera Bible
La Placette, Jean, 1629-1718	Continental Reformed		h	Huguenot
Loque, Bertrand de	Continental Reformed		h	Huguenot
Rouspeau, Yves	Continental Reformed		m	Huguenot
Bédé de la Gormandière, Jean	Continental Reformed		m	Huguenot
Münster, Sebastian, 1489-1552	Continental Reformed		m	Hebraist at Basel
Benedetto, da Mantova, fl. 1534-1541	Continental Reformed		m	The Beneficio di Cristo
Paré, Ambroise, 1510?-1590	Continental Reformed		m	Lay surgeon; Huguenot
Bünting, Heinrich, 1545-1606	Lutheran		h
Luther, Martin, 1483-1546. aut	Lutheran		h	A catalogue variant of the same man
Tilenus, Daniel, 1563-1633	Arminian		m	Began Reformed and ended with the Remonstrants

# ── Anglican, conforming ──────────────────────────────────────────
Saravia, Adrien, 1530-1612	Anglican	Conformist	h	Dutch-born; defended episcopacy against Beza
Smith, Miles, d. 1624	Anglican	Conformist	h	Translator of the King James Bible; Bishop of Gloucester
Lake, Arthur, 1569-1626	Anglican	Conformist	h	Bishop of Bath and Wells
Bedel, William, 1571-1642	Anglican	Conformist	h	Bishop of Kilmore; the Irish Bible
Potter, Christopher, 1591-1646	Anglican	Conformist	h
Skinner, Robert, 1591-1670	Anglican	Conformist	h	Bishop of Worcester
Shelford, Robert, 1562 or 3-1627	Anglican	Conformist	h	Laudian
Pocklington, John	Anglican	Conformist	h	Laudian
Dow, Christopher, B.D.	Anglican	Conformist	h	Laudian
Sybthorpe, Robert, d. 1662	Anglican	Conformist	h	Laudian
Widdowes, Giles, 1558?-1645	Anglican	Conformist	h	Wrote against the Puritans
Ormerod, Oliver, 1580?-1626	Anglican	Conformist	h	The Picture of a Puritan
Burghley, William Cecil, Baron, 1520-1598	Anglican	Conformist	h	Lay; Lord Treasurer
University of Oxford	Anglican	Conformist	h
Morgan, William, ca. 1545-1604	Anglican	Conformist	h	The Welsh Bible
Curteys, Richard, 1532?-1582	Anglican	Conformist	m	Bishop of Chichester
James, William, 1542-1617	Anglican	Conformist	m	Bishop of Durham
Hill, Adam, d. 1595	Anglican	Conformist	m
Fotherby, Martin, 1549 or 50-1620	Anglican	Conformist	m	Bishop of Salisbury
Field, Theophilus, 1574-1636	Anglican	Conformist	m	Bishop of Hereford
Willan, Robert, d. 1630	Anglican	Conformist	m
Bowle, John, d. 1637	Anglican	Conformist	m	Bishop of Rochester
Hodson, Phineas, d. 1646	Anglican	Conformist	m
Burges, John, 1561?-1635	Anglican	Conformist	m	A nonconformist who conformed
Robartes, Foulke, 1580?-1650	Anglican	Conformist	m
Anyan, Thomas, 1580 or 81-1632	Anglican	Conformist	m
Chetwynd, Edward, 1577-1639	Anglican	Conformist	m
Collins, Samuel, 1576-1651	Anglican	Conformist	m
Walkington, Thomas, d. 1621	Anglican	Conformist	m
Sanderson, Thomas, 1560 or 61-1614	Anglican	Conformist	m
Rollenson, Francis, ca. 1565-1630	Anglican	Conformist	m
Gordon, John, 1544-1619	Anglican	Conformist	m	Dean of Salisbury
Hill, Robert, d. 1623	Anglican	Conformist	m
Wakeman, Robert, 1575 or 6-1629	Anglican	Conformist	m
Doughty, John, 1598-1672	Anglican	Conformist	m
Fitz-Geffry, Charles, 1575?-1638	Anglican	Conformist	m
Downe, John, 1570?-1631	Anglican	Conformist	m
Hoard, Samuel, 1599-1658	Anglican	Conformist	m	Wrote against absolute reprobation
Watts, William, 1590?-1649	Anglican	Conformist	m
Birckbek, Simon, 1584-1656	Anglican	Conformist	m
Hanmer, Meredith, 1543-1604	Anglican	Conformist	m
Wilkinson, William, d. 1613	Anglican	Conformist	m	Against the Family of Love
James, Thomas, 1573?-1629	Anglican	Conformist	m	Bodley's first librarian
Reeve, Tho. (Thomas), 1583 or 4-1651	Anglican	Conformist	m
Lindsay, David, 1565?-1627	Anglican	Conformist	m	Scottish bishop
Baron, Robert, 1593?-1639	Anglican	Conformist	m	One of the Aberdeen doctors
Kyffin, Maurice, d. 1599	Anglican	Conformist	m	Welsh
Tejeda, Fernando de, fl. 1623	Anglican	Conformist	m	Spanish priest who conformed
Camden, William, 1551-1623	Anglican	Conformist	m	Lay antiquary
Coke, Edward, Sir, 1552-1634	Anglican	Conformist	m	Lay; Lord Chief Justice
Bacon, Francis, 1561-1626	Anglican	Conformist	m	Lay
Lambarde, William, 1536-1601	Anglican	Conformist	m	Lay
Ridley, Thomas, Sir, 1550?-1629	Anglican	Conformist	m	Lay civilian
Austin, William, 1587-1634	Anglican	Conformist	m	Lay
Baker, Richard, Sir, 1568-1645	Anglican	Conformist	m	Lay
Hutchinson, Roger, d. 1555	Anglican		m	Edwardian
Menewe, Gracious	Anglican		m
Grafton, Richard, d. 1572?	Anglican		m	Lay printer
Day, Richard, b. 1552	Anglican		m
Fleming, Abraham, 1552?-1607	Anglican	Conformist	l
Ling, Nicholas, fl. 1563	Anglican	Conformist	l	Lay
Baker, Humfrey, fl. 1557-1587	Anglican	Conformist	l	Lay
Painter, William, 1540?-1594	Anglican	Conformist	l	Lay
Copland, Robert, fl. 1508-1547	Anglican	Conformist	l	Lay printer
Sutton, J., fl. 1567-1573	Anglican	Conformist	l
Batman, Stephen, d. 1584	Anglican	Conformist	l
Conway, John, Sir, d. 1603	Anglican	Conformist	l	Lay
Fenton, Geoffrey, Sir, 1539?-1608	Anglican	Conformist	l	Lay
